issue_d,sub_grade,term,home_ownership,fico_range_low,total_acc,pub_rec,revol_util,annual_inc,int_rate,dti,purpose,mort_acc,loan_amnt,application_type,installment,verification_status,pub_rec_bankruptcies,addr_state,initial_list_status,fico_range_high,revol_bal,id,open_acc,emp_length,loan_status,time_to_earliest_cr_line
2014-01-01,D1, 60 months,MORTGAGE,660.0,18.0,0.0,86.8,40440.0,16.99,15.16,credit_card,1.0,17775.0,Individual,441.66,Verified,0.0,AR,f,664.0,17264.0,11024793,11.0,2.0,1,478656.0
2014-01-01,C4, 60 months,MORTGAGE,740.0,26.0,0.0,103.5,59000.0,15.61,16.74,credit_card,4.0,29175.0,Individual,703.45,Verified,0.0,VT,f,744.0,6725.0,10596078,8.0,3.0,1,541728.0
2014-01-01,A4, 36 months,RENT,700.0,47.0,0.0,11.4,40000.0,7.9,20.34,debt_consolidation,1.0,6000.0,Individual,187.75,Not Verified,0.0,TX,w,704.0,7613.0,10775616,27.0,1.0,1,657590.4
2014-01-01,D1, 60 months,MORTGAGE,665.0,26.0,0.0,56.2,70000.0,16.99,23.15,debt_consolidation,7.0,15600.0,Individual,387.62,Verified,0.0,IN,f,669.0,14173.0,10765610,9.0,11.0,1,328838.4
2014-01-01,C3, 36 months,MORTGAGE,700.0,15.0,1.0,67.1,120000.0,14.98,17.88,vacation,1.0,10000.0,Individual,346.56,Verified,0.0,LA,f,704.0,2549.0,10794837,8.0,2.0,1,305164.8
2014-01-01,C3, 36 months,MORTGAGE,670.0,49.0,0.0,90.3,85000.0,14.98,27.9,debt_consolidation,12.0,30000.0,Individual,1039.67,Source Verified,0.0,GA,w,674.0,36844.0,10093758,16.0,11.0,1,1167609.6
2014-01-01,B2, 60 months,MORTGAGE,725.0,32.0,0.0,43.8,70000.0,10.99,6.79,debt_consolidation,6.0,18000.0,Individual,391.28,Verified,0.0,MA,w,729.0,18911.0,10636600,12.0,9.0,1,844300.8
2014-01-01,B3, 36 months,MORTGAGE,675.0,45.0,1.0,70.0,127000.0,11.99,10.75,debt_consolidation,5.0,18000.0,Individual,597.78,Verified,0.0,IN,f,679.0,33396.0,10725692,13.0,11.0,1,481334.4
2014-01-01,C4, 36 months,MORTGAGE,675.0,27.0,0.0,39.6,120000.0,15.61,13.94,debt_consolidation,1.0,7500.0,Individual,262.24,Not Verified,0.0,OR,f,679.0,14051.0,10695718,19.0,1.0,1,399859.2
2014-01-01,D2, 36 months,MORTGAGE,705.0,21.0,0.0,24.9,85000.0,17.57,11.83,debt_consolidation,1.0,7800.0,Individual,280.31,Not Verified,0.0,OH,f,709.0,8192.0,10705628,14.0,11.0,1,365644.8
2014-01-01,D1, 60 months,RENT,670.0,21.0,0.0,59.9,47000.0,16.99,18.92,debt_consolidation,0.0,12000.0,Individual,298.17,Verified,0.0,WA,f,674.0,16176.0,10675695,12.0,11.0,0,578620.8
2014-01-01,D1, 60 months,MORTGAGE,695.0,29.0,0.0,67.2,66000.0,16.99,14.89,debt_consolidation,2.0,16450.0,Individual,408.74,Source Verified,0.0,FL,f,699.0,12840.0,10735601,9.0,11.0,1,476064.0
2014-01-01,C3, 60 months,MORTGAGE,700.0,20.0,0.0,43.0,84660.0,14.98,16.8,debt_consolidation,1.0,16000.0,Individual,380.48,Source Verified,0.0,KY,f,704.0,2620.0,10695759,6.0,8.0,1,410227.2
2014-01-01,D2, 60 months,RENT,685.0,37.0,0.0,68.5,92000.0,17.57,22.16,debt_consolidation,0.0,14000.0,Individual,352.25,Source Verified,0.0,CA,f,689.0,25198.0,10755318,13.0,11.0,1,846979.2
2014-01-01,C4, 36 months,OWN,670.0,26.0,1.0,53.0,40000.0,15.61,16.56,debt_consolidation,2.0,10000.0,Individual,349.65,Verified,1.0,TX,w,674.0,5930.0,10675605,8.0,3.0,0,762652.8
2014-01-01,E3, 60 months,RENT,675.0,20.0,0.0,85.6,70000.0,22.4,21.91,debt_consolidation,2.0,10600.0,Individual,295.18,Verified,0.0,OR,f,679.0,23014.0,9794773,9.0,9.0,0,455068.8
2014-01-01,C3, 36 months,MORTGAGE,705.0,29.0,0.0,49.4,55000.0,14.98,17.08,debt_consolidation,4.0,7500.0,Individual,259.92,Source Verified,0.0,PA,w,709.0,15301.0,10745718,13.0,11.0,1,402451.2
2014-01-01,C2, 36 months,MORTGAGE,705.0,32.0,0.0,92.4,102000.0,14.47,28.89,car,2.0,10000.0,Individual,344.07,Not Verified,0.0,AR,f,709.0,26343.0,10705748,14.0,6.0,1,491875.2
2014-01-01,E5, 60 months,MORTGAGE,695.0,34.0,0.0,96.0,77000.0,23.4,22.94,debt_consolidation,3.0,16500.0,Individual,468.95,Verified,0.0,MD,w,699.0,10942.0,10725788,12.0,1.0,1,357696.0
