issue_d,sub_grade,term,home_ownership,fico_range_low,pub_rec,revol_util,int_rate,application_type,verification_status,addr_state,fico_range_high,id,emp_length,loan_status
2015-11-01,A1,36 months,MORTGAGE,725.0,0.0,40.1,5.32,Individual,Not Verified,TX,729.0,65180191,8.0,1
2015-08-01,A2,36 months,OWN,700.0,0.0,42.8,6.24,Individual,Source Verified,MI,704.0,57598216,11.0,1
2015-05-01,C2,36 months,OWN,675.0,0.0,77.9,12.69,Individual,Verified,TX,679.0,46825262,0.0,0
2015-11-01,B2,60 months,RENT,680.0,0.0,63.2,9.17,Individual,Source Verified,CA,684.0,63495933,11.0,1
2016-05-01,B2,36 months,RENT,675.0,0.0,52.3,9.16,Individual,Not Verified,NV,679.0,78640132,0.0,0
2015-05-01,D1,36 months,RENT,670.0,0.0,91.7,15.61,Individual,Verified,AK,674.0,48030491,11.0,1
2015-01-01,B2,36 months,RENT,690.0,0.0,82.5,9.49,Individual,Source Verified,CA,694.0,39480694,11.0,1
2015-04-01,C4,36 months,MORTGAGE,665.0,1.0,64.3,13.99,Individual,Source Verified,MD,669.0,46467281,11.0,1
2014-12-01,C2,36 months,RENT,715.0,0.0,3.1,12.99,Individual,Verified,SC,719.0,36078813,8.0,0
2015-07-01,C4,36 months,RENT,680.0,0.0,70.0,13.99,Individual,Not Verified,NC,684.0,55514675,11.0,1
2015-11-01,C2,36 months,MORTGAGE,670.0,0.0,55.9,12.59,Individual,Verified,FL,674.0,65594620,2.0,1
2016-02-01,E2,36 months,MORTGAGE,695.0,0.0,72.8,20.75,Individual,Verified,TX,699.0,71747076,1.0,1
2014-06-01,A4,36 months,RENT,695.0,0.0,89.7,7.69,Individual,Not Verified,GA,699.0,17695528,9.0,1
2014-03-01,G5,60 months,RENT,675.0,0.0,79.1,26.06,Individual,Verified,FL,679.0,12565907,11.0,1
2015-05-01,B3,60 months,RENT,665.0,1.0,6.0,9.99,Individual,Source Verified,TX,669.0,48584377,11.0,0
2016-05-01,C4,36 months,MORTGAGE,680.0,0.0,64.6,14.46,Individual,Source Verified,NE,684.0,78240056,5.0,1
2016-01-01,A2,36 months,RENT,715.0,0.0,58.0,6.49,Individual,Verified,CO,719.0,69060563,1.0,1
2015-04-01,A4,36 months,MORTGAGE,790.0,0.0,17.3,6.92,Individual,Not Verified,MO,794.0,46655412,11.0,1
2016-02-01,D2,36 months,RENT,665.0,2.0,62.6,17.27,Individual,Verified,FL,669.0,70550487,2.0,1
2015-01-01,D1,36 months,MORTGAGE,670.0,0.0,64.0,15.59,Individual,Source Verified,GA,674.0,38655159,9.0,1
2015-10-01,A1,36 months,OWN,750.0,0.0,14.1,5.32,Individual,Source Verified,TX,754.0,61248206,11.0,1
2014-06-01,C3,60 months,MORTGAGE,705.0,0.0,35.4,13.98,Individual,Source Verified,NY,709.0,17072974,2.0,1
2015-01-01,C2,60 months,MORTGAGE,670.0,0.0,91.7,12.99,Individual,Verified,NC,674.0,38618521,11.0,1
2014-01-01,D5,60 months,MORTGAGE,660.0,0.0,69.4,19.97,Individual,Source Verified,AZ,664.0,11256070,11.0,0
2016-01-01,D2,36 months,RENT,710.0,0.0,85.3,16.59,Individual,Verified,CA,714.0,69336333,0.0,1
2015-12-01,A5,36 months,RENT,685.0,0.0,89.4,7.89,Individual,Verified,CA,689.0,67436754,11.0,1
2016-02-01,B5,36 months,OWN,705.0,0.0,41.4,11.47,Individual,Source Verified,IN,709.0,71845458,9.0,1
2016-03-01,A1,36 months,MORTGAGE,700.0,0.0,96.0,5.32,Individual,Source Verified,IL,704.0,73735291,11.0,1
2015-12-01,C5,36 months,RENT,665.0,1.0,31.6,14.48,Individual,Source Verified,MI,669.0,67475905,11.0,1
2015-04-01,B5,36 months,RENT,665.0,0.0,47.7,11.53,Individual,Not Verified,TX,669.0,44733368,7.0,1
2015-09-01,C5,60 months,MORTGAGE,740.0,0.0,45.7,14.65,Individual,Not Verified,NJ,744.0,59130781,11.0,1
2015-01-01,C5,36 months,RENT,660.0,0.0,5.0,14.99,Individual,Source Verified,TX,664.0,39329313,4.0,1
2016-03-01,C5,36 months,OWN,685.0,0.0,35.1,15.31,Individual,Source Verified,CO,689.0,75026169,8.0,1
2015-07-01,D5,60 months,MORTGAGE,670.0,1.0,25.6,17.86,Individual,Verified,MI,674.0,55747556,5.0,1
2015-11-01,B3,36 months,RENT,745.0,1.0,5.1,9.99,Individual,Not Verified,OH,749.0,64290796,11.0,1
2015-10-01,C3,36 months,RENT,675.0,1.0,19.0,13.33,Individual,Verified,PA,679.0,62137343,5.0,1
2015-10-01,A4,36 months,MORTGAGE,715.0,0.0,39.2,7.26,Individual,Not Verified,CA,719.0,61812809,8.0,1
2014-04-01,C3,36 months,MORTGAGE,700.0,0.0,58.0,14.64,Individual,Not Verified,PA,704.0,15099126,3.0,1
2015-10-01,B4,36 months,RENT,680.0,0.0,49.0,10.99,Individual,Source Verified,NY,684.0,61742449,4.0,1
2016-01-01,A2,36 months,RENT,715.0,0.0,93.5,6.49,Individual,Not Verified,WV,719.0,68822412,11.0,1
2015-01-01,C1,60 months,MORTGAGE,705.0,1.0,60.2,12.39,Individual,Source Verified,TX,709.0,38628406,3.0,1
2015-12-01,C1,36 months,RENT,685.0,1.0,55.6,11.99,Individual,Verified,NM,689.0,65631386,1.0,0
2014-11-01,B4,36 months,MORTGAGE,675.0,1.0,74.4,11.44,Individual,Source Verified,NC,679.0,33711503,11.0,1
2015-12-01,C2,60 months,MORTGAGE,685.0,0.0,49.0,12.59,Individual,Not Verified,NJ,689.0,67347880,11.0,0
2015-11-01,B1,60 months,RENT,825.0,0.0,3.0,8.18,Individual,Not Verified,CO,829.0,65304621,5.0,1
2014-10-01,C3,36 months,OWN,690.0,0.0,84.9,13.98,Individual,Source Verified,TX,694.0,27501509,11.0,1
2014-11-01,C1,36 months,OWN,660.0,1.0,83.7,12.39,Individual,Not Verified,CA,664.0,34712829,7.0,1
2015-02-01,A5,36 months,MORTGAGE,705.0,0.0,18.6,7.89,Individual,Not Verified,NC,709.0,41081233,11.0,1
2015-06-01,B1,36 months,RENT,780.0,0.0,5.7,8.18,Individual,Not Verified,VA,784.0,50104193,0.0,1
2016-03-01,C2,36 months,RENT,735.0,0.0,33.2,12.99,Individual,Not Verified,NJ,739.0,76153829,11.0,0
2015-12-01,D4,60 months,MORTGAGE,670.0,0.0,89.4,17.57,Individual,Verified,NY,674.0,65696102,11.0,1
2015-01-01,C2,36 months,RENT,670.0,0.0,92.4,12.99,Individual,Not Verified,CA,674.0,38892323,9.0,0
2014-03-01,A2,36 months,RENT,765.0,0.0,10.8,6.62,Individual,Verified,NY,769.0,12429317,4.0,1
2014-10-01,C1,36 months,RENT,660.0,0.0,77.7,12.99,Individual,Verified,CT,664.0,31166860,0.0,0
2015-06-01,A2,36 months,OWN,750.0,0.0,36.8,6.24,Individual,Source Verified,NJ,754.0,50580037,4.0,1
2014-04-01,B2,36 months,MORTGAGE,675.0,0.0,32.8,10.99,Individual,Verified,FL,679.0,14338039,5.0,0
2016-06-01,B1,36 months,RENT,670.0,1.0,94.5,8.39,Individual,Not Verified,PA,674.0,80741175,7.0,1
2014-10-01,B3,36 months,OWN,685.0,0.0,56.3,10.99,Individual,Source Verified,IL,689.0,28392770,4.0,1
2014-02-01,D1,60 months,MORTGAGE,730.0,0.0,32.0,16.99,Individual,Source Verified,FL,734.0,11415709,1.0,0
2016-02-01,C3,36 months,MORTGAGE,690.0,0.0,46.1,13.67,Individual,Verified,TX,694.0,70877305,3.0,0
2016-04-01,A1,36 months,OWN,770.0,0.0,3.1,5.32,Individual,Source Verified,FL,774.0,77029698,1.0,1
2015-03-01,B4,36 months,MORTGAGE,710.0,0.0,82.8,10.99,Individual,Verified,OR,714.0,41101113,11.0,1
2015-08-01,C2,60 months,MORTGAGE,675.0,0.0,66.2,12.69,Individual,Source Verified,OH,679.0,59239166,7.0,1
2014-10-01,C2,36 months,MORTGAGE,725.0,0.0,53.2,13.35,Individual,Verified,WI,729.0,28102624,9.0,1
2014-06-01,A3,36 months,RENT,715.0,0.0,64.6,7.12,Individual,Not Verified,CA,719.0,19167275,8.0,1
2015-05-01,C3,36 months,RENT,700.0,0.0,44.5,13.33,Individual,Verified,WA,704.0,49653682,0.0,1
2015-02-01,B2,36 months,OWN,675.0,0.0,89.0,9.17,Individual,Not Verified,CA,679.0,41091605,11.0,1
2014-02-01,A4,36 months,MORTGAGE,760.0,0.0,21.6,7.9,Individual,Not Verified,VA,764.0,11935511,2.0,1
2014-01-01,C1,36 months,MORTGAGE,675.0,0.0,59.0,13.98,Individual,Source Verified,CA,679.0,10083008,11.0,1
2016-06-01,D1,36 months,MORTGAGE,675.0,0.0,60.3,16.99,Individual,Verified,CA,679.0,83837669,11.0,1
2015-10-01,A1,36 months,RENT,765.0,0.0,27.4,5.32,Individual,Not Verified,CA,769.0,63084304,11.0,1
2015-10-01,B3,36 months,RENT,670.0,0.0,99.5,9.99,Individual,Verified,OH,674.0,63395931,11.0,0
2014-06-01,A5,36 months,RENT,720.0,0.0,43.7,8.39,Individual,Source Verified,OH,724.0,18514581,2.0,1
2014-07-01,C2,36 months,RENT,690.0,0.0,46.9,13.35,Individual,Not Verified,CO,694.0,21261549,11.0,1
2015-06-01,B5,36 months,MORTGAGE,665.0,1.0,40.1,11.53,Individual,Not Verified,MN,669.0,51486635,11.0,1
2016-05-01,E1,36 months,RENT,660.0,0.0,56.5,20.99,Individual,Not Verified,OK,664.0,77441346,5.0,0
2015-03-01,B5,36 months,MORTGAGE,680.0,0.0,56.4,11.53,Individual,Source Verified,TN,684.0,43539971,11.0,1
2015-07-01,C5,60 months,MORTGAGE,705.0,0.0,24.5,14.65,Individual,Not Verified,NC,709.0,56011437,11.0,0
2016-04-01,B4,36 months,MORTGAGE,720.0,0.0,29.9,10.75,Individual,Verified,FL,724.0,77496755,7.0,1
2015-10-01,C4,36 months,MORTGAGE,665.0,0.0,18.9,13.99,Individual,Source Verified,TN,669.0,63398264,4.0,1
2014-10-01,E1,60 months,MORTGAGE,675.0,0.0,65.4,18.99,Individual,Source Verified,MI,679.0,28624472,3.0,1
2015-09-01,C4,60 months,MORTGAGE,700.0,0.0,44.5,13.99,Individual,Source Verified,TX,704.0,60802586,2.0,1
2015-05-01,C5,36 months,RENT,765.0,0.0,2.2,14.65,Individual,Source Verified,MD,769.0,49803302,3.0,1
2014-05-01,B2,36 months,MORTGAGE,715.0,0.0,74.6,10.15,Individual,Source Verified,IL,719.0,16862465,0.0,1
2015-07-01,B4,36 months,RENT,670.0,0.0,53.3,10.99,Individual,Source Verified,CA,674.0,55202139,0.0,1
2016-01-01,B2,36 months,MORTGAGE,670.0,0.0,71.8,9.17,Individual,Verified,TX,674.0,69773232,7.0,1
2015-07-01,B4,36 months,RENT,730.0,0.0,7.1,10.99,Individual,Source Verified,NY,734.0,55422774,3.0,0
2015-01-01,D1,36 months,RENT,675.0,0.0,47.3,15.59,Individual,Verified,CT,679.0,39521789,8.0,1
2015-11-01,B2,36 months,MORTGAGE,715.0,0.0,98.5,9.17,Individual,Source Verified,TN,719.0,63948879,8.0,1
2016-06-01,A5,36 months,OWN,665.0,0.0,0.1,7.89,Individual,Not Verified,MI,669.0,81514919,11.0,0
2015-09-01,B1,36 months,MORTGAGE,665.0,0.0,82.0,8.18,Individual,Source Verified,MN,669.0,58772633,0.0,1
2015-12-01,C5,60 months,RENT,685.0,0.0,40.0,14.48,Individual,Verified,CA,689.0,67556069,0.0,1
2015-10-01,D2,60 months,RENT,705.0,0.0,85.3,16.55,Individual,Verified,CA,709.0,61500905,1.0,1
2015-02-01,D1,36 months,MORTGAGE,695.0,0.0,63.9,15.61,Individual,Verified,NY,699.0,41092873,11.0,1
2014-03-01,C4,60 months,MORTGAGE,680.0,0.0,66.1,15.31,Individual,Source Verified,MN,684.0,12946641,6.0,1
2015-06-01,C5,36 months,RENT,690.0,0.0,43.5,14.65,Individual,Verified,CT,694.0,51356948,2.0,1
2015-02-01,B1,36 months,MORTGAGE,670.0,0.0,54.1,8.18,Individual,Not Verified,PA,674.0,39722687,11.0,1
2015-04-01,C3,36 months,RENT,695.0,0.0,79.4,13.33,Individual,Source Verified,CA,699.0,44016975,5.0,1
2015-03-01,E2,60 months,MORTGAGE,665.0,0.0,93.9,18.84,Individual,Verified,WV,669.0,43216528,11.0,0
2015-03-01,D3,36 months,RENT,700.0,0.0,71.0,16.99,Individual,Verified,FL,704.0,41268020,2.0,1
2014-04-01,B3,36 months,RENT,700.0,0.0,87.7,11.99,Individual,Source Verified,TX,704.0,13428519,1.0,1
2014-11-01,B1,36 months,RENT,720.0,0.0,59.0,8.67,Individual,Source Verified,TX,724.0,35939558,11.0,1
2015-08-01,B5,36 months,RENT,700.0,0.0,46.0,11.53,Individual,Source Verified,MA,704.0,57256496,5.0,1
2015-01-01,B3,36 months,RENT,660.0,0.0,57.8,10.49,Individual,Source Verified,LA,664.0,38589397,7.0,1
2015-01-01,B2,60 months,OWN,755.0,0.0,50.2,9.49,Individual,Verified,MA,759.0,38505703,11.0,1
2015-01-01,C5,36 months,RENT,680.0,1.0,71.9,14.99,Individual,Not Verified,NJ,684.0,38485726,11.0,1
2016-06-01,C1,36 months,MORTGAGE,705.0,0.0,59.8,11.99,Individual,Not Verified,WA,709.0,81524212,11.0,1
2016-03-01,C2,60 months,RENT,670.0,1.0,56.7,12.99,Individual,Verified,TN,674.0,73734298,3.0,1
2016-03-01,B2,36 months,RENT,660.0,0.0,64.7,9.16,Individual,Source Verified,TX,664.0,75103444,2.0,1
2015-01-01,C2,36 months,MORTGAGE,690.0,0.0,60.0,12.99,Individual,Verified,IL,694.0,40147568,11.0,1
2014-07-01,B5,36 months,RENT,685.0,1.0,30.0,12.49,Individual,Source Verified,PA,689.0,20120276,5.0,1
2015-10-01,C2,36 months,RENT,710.0,0.0,90.5,12.69,Individual,Verified,AL,714.0,60774433,1.0,1
2015-10-01,C1,60 months,RENT,700.0,0.0,25.8,12.29,Individual,Not Verified,MO,704.0,62479169,8.0,0
2016-01-01,B2,36 months,OWN,670.0,0.0,35.5,9.17,Individual,Not Verified,WA,674.0,68721513,3.0,1
2015-04-01,C5,36 months,RENT,665.0,0.0,90.9,14.65,Individual,Not Verified,WA,669.0,45714154,4.0,1
2015-05-01,B1,36 months,MORTGAGE,675.0,0.0,47.8,8.18,Individual,Verified,CA,679.0,48140518,3.0,1
2015-06-01,B3,60 months,RENT,765.0,0.0,33.1,9.99,Individual,Source Verified,CA,769.0,51317462,11.0,1
2016-03-01,D2,36 months,RENT,660.0,0.0,35.9,17.27,Individual,Not Verified,GA,664.0,75215047,8.0,1
2014-12-01,D3,60 months,MORTGAGE,715.0,0.0,46.5,16.49,Individual,Verified,NJ,719.0,36490530,5.0,0
2014-10-01,C4,36 months,RENT,660.0,1.0,25.7,14.49,Individual,Source Verified,MI,664.0,30635755,8.0,1
2015-05-01,E2,36 months,RENT,665.0,0.0,67.9,18.84,Individual,Verified,TX,669.0,48514235,5.0,1
2014-01-01,B5,36 months,RENT,660.0,1.0,68.0,13.53,Individual,Source Verified,NY,664.0,10794760,11.0,1
2016-04-01,A2,36 months,OWN,725.0,0.0,34.0,6.49,Individual,Not Verified,WV,729.0,77139282,1.0,1
2015-08-01,B4,60 months,MORTGAGE,700.0,0.0,98.3,10.99,Individual,Verified,TN,704.0,57126729,4.0,1
2016-02-01,C3,36 months,MORTGAGE,690.0,0.0,29.8,13.67,Individual,Source Verified,GA,694.0,71724387,11.0,1
2015-06-01,D4,36 months,RENT,665.0,1.0,92.0,17.57,Individual,Not Verified,PA,669.0,51857455,7.0,1
2015-12-01,B5,36 months,RENT,670.0,0.0,95.8,11.22,Individual,Source Verified,NY,674.0,65856038,1.0,1
2015-10-01,F3,60 months,RENT,680.0,0.0,38.6,23.99,Individual,Verified,CA,684.0,63249034,3.0,0
2015-07-01,B3,36 months,RENT,740.0,0.0,25.3,9.99,Individual,Source Verified,NC,744.0,55927913,3.0,1
2015-05-01,C1,60 months,MORTGAGE,680.0,1.0,12.0,12.29,Individual,Source Verified,IL,684.0,48011609,2.0,1
2014-02-01,C1,36 months,MORTGAGE,685.0,1.0,40.7,13.98,Individual,Verified,NV,689.0,10078881,11.0,1
2014-11-01,E2,60 months,MORTGAGE,660.0,0.0,72.2,19.24,Individual,Source Verified,OH,664.0,34061807,11.0,1
2015-10-01,B1,36 months,RENT,670.0,0.0,45.1,8.18,Individual,Source Verified,TX,674.0,61440818,5.0,1
2016-05-01,C4,60 months,MORTGAGE,665.0,1.0,68.2,14.46,Joint App,Source Verified,TX,669.0,77121623,0.0,1
2016-02-01,A5,36 months,MORTGAGE,690.0,3.0,59.0,7.89,Individual,Not Verified,WI,694.0,71735429,2.0,1
2014-11-01,C1,36 months,RENT,675.0,2.0,25.4,12.99,Individual,Source Verified,CA,679.0,32320301,11.0,1
2014-03-01,D5,60 months,MORTGAGE,680.0,0.0,79.7,19.47,Individual,Source Verified,MI,684.0,12677000,11.0,1
2014-07-01,A1,36 months,MORTGAGE,820.0,0.0,8.4,6.03,Individual,Not Verified,NC,824.0,16342896,11.0,1
2015-12-01,B4,36 months,OWN,670.0,0.0,34.0,10.64,Individual,Source Verified,NY,674.0,67105419,3.0,1
2015-03-01,B4,36 months,MORTGAGE,680.0,0.0,69.6,10.99,Individual,Verified,TX,684.0,42495459,4.0,1
2015-04-01,D1,36 months,MORTGAGE,665.0,1.0,26.0,15.61,Individual,Source Verified,NY,669.0,46587038,11.0,1
2016-05-01,A5,36 months,MORTGAGE,700.0,0.0,48.5,7.89,Individual,Not Verified,SC,704.0,77765627,0.0,1
2015-10-01,D1,60 months,RENT,675.0,0.0,77.0,15.61,Individual,Not Verified,NY,679.0,61539925,2.0,0
2015-01-01,C3,36 months,MORTGAGE,660.0,0.0,43.9,13.66,Individual,Source Verified,WY,664.0,39550016,2.0,1
2014-05-01,C5,60 months,MORTGAGE,695.0,0.0,74.9,14.99,Individual,Source Verified,NV,699.0,16342500,11.0,1
2015-02-01,C3,60 months,RENT,665.0,1.0,69.0,13.33,Individual,Source Verified,FL,669.0,41328251,5.0,0
2015-04-01,D1,36 months,MORTGAGE,685.0,1.0,36.2,15.61,Individual,Verified,OH,689.0,44806153,3.0,1
2015-12-01,B1,36 months,RENT,715.0,0.0,48.7,8.38,Individual,Source Verified,TX,719.0,66591217,11.0,1
2015-08-01,D1,36 months,RENT,670.0,0.0,4.3,15.61,Individual,Verified,NY,674.0,58674174,1.0,0
2015-04-01,A4,36 months,RENT,665.0,0.0,70.4,6.92,Individual,Not Verified,WA,669.0,44563454,11.0,1
2015-06-01,D5,60 months,MORTGAGE,710.0,0.0,98.7,17.86,Individual,Source Verified,TX,714.0,51376831,11.0,1
2015-12-01,A5,36 months,OWN,720.0,0.0,23.2,7.89,Individual,Not Verified,MO,724.0,67035209,3.0,0
2015-05-01,E1,36 months,MORTGAGE,725.0,0.0,33.6,18.25,Individual,Verified,CA,729.0,48675147,7.0,0
2016-04-01,B2,36 months,RENT,670.0,1.0,53.5,9.16,Individual,Not Verified,OH,674.0,76324764,5.0,1
2015-05-01,A5,36 months,MORTGAGE,715.0,0.0,30.9,7.89,Individual,Verified,RI,719.0,47068570,6.0,1
2015-09-01,C3,36 months,MORTGAGE,695.0,0.0,49.5,13.33,Individual,Verified,NV,699.0,59422668,7.0,1
2014-10-01,C3,60 months,RENT,680.0,0.0,83.2,13.98,Individual,Verified,WI,684.0,31597216,4.0,1
2014-03-01,C4,36 months,MORTGAGE,710.0,0.0,35.3,15.31,Individual,Source Verified,TX,714.0,12957587,4.0,1
2014-06-01,C4,36 months,RENT,660.0,1.0,74.0,14.49,Individual,Verified,NY,664.0,18575263,5.0,1
2014-08-01,B1,36 months,RENT,695.0,0.0,69.9,9.17,Individual,Source Verified,PA,699.0,24746344,3.0,1
2016-01-01,E3,36 months,MORTGAGE,665.0,0.0,45.5,19.89,Individual,Verified,CA,669.0,69583908,1.0,1
2014-07-01,B1,36 months,MORTGAGE,665.0,0.0,42.1,9.17,Individual,Not Verified,CA,669.0,20127408,9.0,1
2015-05-01,A2,36 months,RENT,725.0,0.0,26.9,6.39,Individual,Source Verified,CO,729.0,46787586,0.0,1
2014-09-01,D3,36 months,RENT,710.0,1.0,26.3,16.99,Individual,Source Verified,FL,714.0,26539645,11.0,1
2016-02-01,F5,60 months,RENT,700.0,0.0,30.6,26.06,Individual,Not Verified,PA,704.0,70301502,6.0,1
2015-11-01,C1,60 months,OWN,695.0,0.0,46.0,12.05,Individual,Verified,SC,699.0,64988714,11.0,1
2015-01-01,C2,36 months,MORTGAGE,680.0,0.0,80.1,12.99,Individual,Not Verified,TX,684.0,37938349,11.0,1
2015-01-01,C4,36 months,MORTGAGE,670.0,1.0,49.0,14.31,Individual,Source Verified,AL,674.0,38659887,1.0,1
2014-06-01,C2,36 months,MORTGAGE,665.0,0.0,77.0,13.35,Individual,Verified,TX,669.0,18714914,0.0,1
2015-08-01,B4,36 months,OWN,680.0,0.0,64.3,10.99,Individual,Verified,IN,684.0,55717492,9.0,0
2015-03-01,G3,60 months,MORTGAGE,685.0,0.0,19.1,25.89,Individual,Source Verified,MA,689.0,44115317,11.0,0
2016-03-01,B2,60 months,MORTGAGE,665.0,0.0,40.1,9.16,Individual,Not Verified,AL,669.0,74001185,11.0,0
2015-04-01,A1,36 months,MORTGAGE,785.0,0.0,52.0,5.93,Individual,Not Verified,CA,789.0,46348726,2.0,1
2015-01-01,D4,36 months,OWN,665.0,1.0,37.8,17.14,Individual,Source Verified,FL,669.0,38507556,11.0,1
2015-03-01,B1,36 months,RENT,675.0,0.0,44.4,8.18,Individual,Not Verified,CA,679.0,44076632,11.0,1
